2.05	0.000
4.563	2.050
2.667	6.613
4.374	9.280
1.64	13.654
2.464	15.294
2.69	17.758
1.544	20.448
3.173	21.992
1.526	25.165
2.284	26.691
1.52	28.975
3.154	30.495
2.645	33.649
1.594	36.294
2.566	37.888
1.57	40.454
2.817	42.024
1.721	44.841
5.764	46.562
1.52	52.326
4.17	53.846
3.084	58.016
2.693	61.100
1.08	63.793
2.913	64.873
1.198	67.786
4.82	68.984
1.025	73.804
2.284	74.829
1.526	77.113
3.579	78.639
1.388	82.218
2.566	83.606
1.446	86.172
3.079	87.618
1.813	90.697
1.636	92.510
2.913	94.146
1.721	97.059
4.63	98.780
1.55	103.410
2.018	104.960
1.775	106.978
1.648	108.753
0.936	110.401
2.208	111.337
3.034	113.545
0.733	116.579
3.11	117.312
1.087	120.422
1.743	121.509
0.949	123.252
2.962	124.201
0.994	127.163
3.653	128.157
2.895	131.810
0.907	134.705
3.076	135.612
2.183	138.688
0.792	140.871
2.52	141.663
2.361	144.183
0.993	146.544
4.165	147.537
2.062	151.702
0.85	153.764
3.402	154.614
1.588	158.016
3.591	159.604
4.148	163.195
2.067	167.343
1.152	169.410
1.686	170.562
1.784	172.248
3.235	174.032
3.458	177.267
2.06	180.725
1.987	182.785
3.291	184.772
1.306	188.063
3.722	189.369
2.866	193.091
1.203	195.957
2.453	197.160
1.393	199.613
1.518	201.006
2.454	202.524
1.008	204.978
1.718	205.986
2.48	207.704
1.614	210.184
2.454	211.798
1.495	214.252
1.885	215.747
1.763	217.632
2.298	219.395
1.503	221.693
1.867	223.196
1.734	225.063
2.381	226.797
1.547	229.178
1.892	230.725
1.8	232.617
2.455	234.417
1.654	236.872
2.125	238.526
1.884	240.651
1.603	242.535
2.367	244.138
3.289	246.505
2.05	249.794
1.98	251.844
2.103	253.824
6.454	255.927
4.402	262.381
3.11	266.783
1.127	269.893
1.515	271.020
3.602	272.535
2.33	276.137
4.96	278.467
3.197	283.427
1.159	286.624
3.296	287.783
2.58	291.079
5.426	293.659
5.872	299.085
2.332	304.957
5.052	307.289
3.651	312.341
3.02	315.992
1.915	319.012
1.517	320.927
1.734	322.444
2.588	324.178
1.291	326.766
4.819	328.057
2.05	332.876
2.021	334.926
2.298	336.947
3.158	339.245
4.948	342.403
2.612	347.351
3.347	349.963
1.083	353.310
2.049	354.393
2.036	356.442
2.629	358.478
2.453	361.107
2.782	363.560
3.097	366.342
2.922	369.439
1.228	372.361
2.986	373.589
3.069	376.575
1.315	379.644
4.685	380.959
1.7	385.644
1.671	387.344
2.078	389.015
2.457	391.093
1.671	393.550
2.078	395.221
2.458	397.299
2.396	399.757
1.678	402.153
0.937	403.831
3.079	404.768
1.535	407.847
7.569	409.382
1.968	416.951
0.945	418.919
1.797	419.864
3.289	421.661
1.35	424.950
0.732	426.300
0.981	427.032
2.266	428.013
5.137	430.279
2.25	435.416
1.715	437.666
3.848	439.381
3.3	443.229
1.35	446.529
0.994	447.879
2.937	448.873
2.566	451.810
7.381	454.376
4.471	461.757
3.148	466.228
3.143	469.376
1.35	472.519
0.907	473.869
3.157	474.776
7.279	477.933
4.919	485.212
2.415	490.131
2.722	492.546
2.05	495.268
1.963	497.318
5.975	499.281
3.013	505.256
0.94	508.269
2.461	509.209
1.35	511.670
2.207	513.020
1.013	515.227
1.584	516.240
0.869	517.824
1.586	518.693
1.066	520.279
1.811	521.345
1.011	523.156
1.733	524.167
0.915	525.900
1.782	526.815
1.029	528.597
1.747	529.626
0.95	531.373
1.731	532.323
1.021	534.054
1.694	535.075
0.975	536.769
1.719	537.744
1.008	539.463
1.885	540.471
3.136	542.356
2.231	545.492
1.578	547.723
1.711	549.301
1.666	551.012
1.565	552.678
1.618	554.243
1.665	555.861
1.63	557.526
1.786	559.156
2.074	560.942
1.565	563.016
1.272	564.581
6.695	565.853
1.447	572.548
3.481	573.995
1.627	577.476
4.069	579.103
2.524	583.172
2.282	585.696
6.618	587.978
