2.396	399.757	郷SILENT<&ensp;(きょう)&ensp;>SILENT
1.678	402.153	お知らせ
0.937	403.831	1、
3.079	404.768	音訳者養成中級講座
1.535	407.847	（全10回）
7.569	409.382	が5月30日より中央図書館3階ホールで開催されます。
1.968	416.951	受講生の皆さん、
0.945	418.919	また、
1.797	419.864	お手伝いの皆さん、
3.289	421.661	どうぞよろしくお願いします。
1.35	424.950	&thinsp;
0.732	426.300	2、
0.981	427.032	＂夏、
2.266	428.013	体験ボランティア＂
5.137	430.279	今年も2名の体験者を募集します。
2.25	435.416	7/27、
1.715	437.666	8/10、
3.848	439.381	8/24の日程で行われますので、
3.3	443.229	ご協力お願いいたします。
1.35	446.529	&thinsp;
0.994	447.879	3、
2.937	448.873	北区図書館区民の会の
2.566	451.810	10周年記念行事として
7.381	454.376	パネル展示が6/29～8/31まで行われます。
4.471	461.757	やまびこからは大川さんがパネル作成に参加して、
3.148	466.228	読みやすいものが出来ました。
3.143	469.376	ぜひご覧になってください。
1.35	472.519	&thinsp;
0.907	473.869	4、
3.157	474.776	おちゃのこ祭祭2018が
7.279	477.933	6月9日(土)・10日(日)に滝野川会館で行われます。
4.919	485.212	やまびこではチラシの音訳をお手伝いしました。
2.415	490.131	お近くまでおでかけの折には
2.722	492.546	立ち寄ってみてください。
2.05	495.268	&thinsp;&thinsp;
1.963	497.318	Let's&ensp;try!!
5.975	499.281	今月は久しぶりにクロスワードを作ってみました。
3.013	505.256	問題の読み上げは省略
0.94	508.269	では、
2.461	509.209	お楽しみください。
1.35	511.670	（カット4）
2.207	513.020	5月の答え
1.013	515.227	1位
1.584	516.240	乳離れ（チバナレ）
0.869	517.824	2位
1.586	518.693	貼付（チョウフ）
1.066	520.279	3位
1.811	521.345	続柄（ツヅキガラ）
1.011	523.156	4位
1.733	524.167	礼賛（ライサン）
0.915	525.900	5位
1.782	526.815	依存心（イソンシン）
1.029	528.597	6位
1.747	529.626	漸く（ヨウヤク）
0.95	531.373	7位
1.731	532.323	早急（サッキュウ）
1.021	534.054	8位
1.694	535.075	間髪（カンハツ）
0.975	536.769	9位
1.719	537.744	代替（ダイタイ）
1.008	539.463	10位
1.885	540.471	御来迎（ゴライゴウ）
3.136	542.356	難読漢字・果物篇
2.231	545.492	火龍果（ドラゴンフルーツ）
1.578	547.723	藩石榴（グアバ）
1.711	549.301	麝香猫果（ドリアン)
1.666	551.012	鰐梨（アボカド）
1.565	552.678	甘蕉（バナナ）
1.618	554.243	万寿果･凡蕃瓜樹（パパイア）
1.665	555.861	無花果・映日果（イチジク）
1.63	557.526	檬果・芒果実（マンゴー）
1.786	559.156	鳳梨（パイナップル）
2.074	560.942	五斂子（スターフルーツ）
1.565	563.016	茘枝（ライチ）
1.272	564.581	定例会：
6.695	565.853	第2・第4金曜日10時～12時／中央図書館3階
1.447	572.548	連絡先：
3.481	573.995	やまびこ代表&ensp;大川薫
1.627	577.476	電話番号：
4.069	579.103	03-3910-7331
2.524	583.172	このサイトについてはこちらへ
2.282	585.696	（リンク）
6.618	587.978	以上でやまびこ通信2018年6月号を終わります。
